n,m,Generator,Seed,0
150,3,Small Span Large Weights,5,38440048
150,3,Small Span Large Weights,6,38454965
150,3,Small Span Large Weights,7,38450359
150,3,Small Span Large Weights,8,38454721
150,3,Small Span Large Weights,9,38458492
150,3,Large Span Large Weights,0,1743743243
150,3,Large Span Large Weights,1,1721057469
150,3,Large Span Large Weights,2,1792584310
150,3,Large Span Large Weights,3,1683359827
150,3,Large Span Large Weights,4,1800634350
150,3,Large Span Large Weights,5,1790366491
150,3,Large Span Large Weights,6,1687807603
150,3,Large Span Large Weights,7,1868848477
150,3,Large Span Large Weights,8,1789317310
150,3,Large Span Large Weights,9,1883654172
150,3,"Random Half Low, then Half High Weights",0,1718951
150,3,"Random Half Low, then Half High Weights",1,1680637
150,3,"Random Half Low, then Half High Weights",2,1748199
150,3,"Random Half Low, then Half High Weights",3,1727256
150,3,"Random Half Low, then Half High Weights",4,1673740
150,3,"Random Half Low, then Half High Weights",5,1708885
150,3,"Random Half Low, then Half High Weights",6,1737667
150,3,"Random Half Low, then Half High Weights",7,1735927
150,3,"Random Half Low, then Half High Weights",8,1746120
150,3,"Random Half Low, then Half High Weights",9,1734928
150,3,"Random Half High, then Half Low Weights",0,1166793
150,3,"Random Half High, then Half Low Weights",1,1176024
150,3,"Random Half High, then Half Low Weights",2,1198752
150,3,"Random Half High, then Half Low Weights",3,1151173
150,3,"Random Half High, then Half Low Weights",4,1159900
150,3,"Random Half High, then Half Low Weights",5,1162348
150,3,"Random Half High, then Half Low Weights",6,1189880
150,3,"Random Half High, then Half Low Weights",7,1173423
150,3,"Random Half High, then Half Low Weights",8,1168417
150,3,"Random Half High, then Half Low Weights",9,1193947
150,3,Increasingly Sorted Large Span Random Weights,0,219252647
150,3,Increasingly Sorted Large Span Random Weights,1,221620701
150,3,Increasingly Sorted Large Span Random Weights,2,197494698
150,3,Increasingly Sorted Large Span Random Weights,3,193990209
150,3,Increasingly Sorted Large Span Random Weights,4,217244371
150,3,Increasingly Sorted Large Span Random Weights,5,190643032
150,3,Increasingly Sorted Large Span Random Weights,6,175405694
150,3,Increasingly Sorted Large Span Random Weights,7,213612961
150,3,Increasingly Sorted Large Span Random Weights,8,192291324
150,3,Increasingly Sorted Large Span Random Weights,9,206470842
150,3,Decreasingly Sorted Large Span Random Weights,0,162133817
150,3,Decreasingly Sorted Large Span Random Weights,1,163023721
150,3,Decreasingly Sorted Large Span Random Weights,2,152027835
150,3,Decreasingly Sorted Large Span Random Weights,3,142992480
150,3,Decreasingly Sorted Large Span Random Weights,4,166935553
150,3,Decreasingly Sorted Large Span Random Weights,5,142605307
150,3,Decreasingly Sorted Large Span Random Weights,6,127710761
150,3,Decreasingly Sorted Large Span Random Weights,7,157540368
150,3,Decreasingly Sorted Large Span Random Weights,8,141914040
150,3,Decreasingly Sorted Large Span Random Weights,9,154835747
150,4,+1 Increasing Weights,0,219012
150,4,+1 Increasing Weights,1,219012
150,4,+1 Increasing Weights,2,219012
150,4,+1 Increasing Weights,3,219012
150,4,+1 Increasing Weights,4,219012
150,4,+1 Increasing Weights,5,219012
150,4,+1 Increasing Weights,6,219012
150,4,+1 Increasing Weights,7,219012
150,4,+1 Increasing Weights,8,219012
150,4,+1 Increasing Weights,9,219012
150,4,-1 Decreasing Weights,0,172191
150,4,-1 Decreasing Weights,1,172191
150,4,-1 Decreasing Weights,2,172191
150,4,-1 Decreasing Weights,3,172191
150,4,-1 Decreasing Weights,4,172191
150,4,-1 Decreasing Weights,5,172191
150,4,-1 Decreasing Weights,6,172191
150,4,-1 Decreasing Weights,7,172191
150,4,-1 Decreasing Weights,8,172191
150,4,-1 Decreasing Weights,9,172191
150,4,Small Random Weights,0,126935
150,4,Small Random Weights,1,121155
150,4,Small Random Weights,2,147001
150,4,Small Random Weights,3,122867
150,4,Small Random Weights,4,130976
150,4,Small Random Weights,5,118949
150,4,Small Random Weights,6,140245
150,4,Small Random Weights,7,130983
150,4,Small Random Weights,8,136374
150,4,Small Random Weights,9,140499
150,4,Small Span Large Weights,0,29020258
150,4,Small Span Large Weights,1,29016768
150,4,Small Span Large Weights,2,29035552
150,4,Small Span Large Weights,3,29014971
150,4,Small Span Large Weights,4,29024082
150,4,Small Span Large Weights,5,29015101
150,4,Small Span Large Weights,6,29028984
150,4,Small Span Large Weights,7,29022252
150,4,Small Span Large Weights,8,29027399
150,4,Small Span Large Weights,9,29029791
150,4,Large Span Large Weights,0,1339282059
150,4,Large Span Large Weights,1,1313330136
150,4,Large Span Large Weights,2,1350169183
150,4,Large Span Large Weights,3,1239611825
150,4,Large Span Large Weights,4,1367717018
150,4,Large Span Large Weights,5,1344032765
150,4,Large Span Large Weights,6,1243890664
150,4,Large Span Large Weights,7,1374672740
150,4,Large Span Large Weights,8,1314765952
150,4,Large Span Large Weights,9,1380437887
150,4,"Random Half Low, then Half High Weights",0,1097170
150,4,"Random Half Low, then Half High Weights",1,1099365
150,4,"Random Half Low, then Half High Weights",2,1121054
150,4,"Random Half Low, then Half High Weights",3,1107627
150,4,"Random Half Low, then Half High Weights",4,1131442
150,4,"Random Half Low, then Half High Weights",5,1088775
150,4,"Random Half Low, then Half High Weights",6,1111148
150,4,"Random Half Low, then Half High Weights",7,1112285
150,4,"Random Half Low, then Half High Weights",8,1121925
150,4,"Random Half Low, then Half High Weights",9,1109157
150,4,"Random Half High, then Half Low Weights",0,927893
150,4,"Random Half High, then Half Low Weights",1,965697
150,4,"Random Half High, then Half Low Weights",2,980817
150,4,"Random Half High, then Half Low Weights",3,913058
150,4,"Random Half High, then Half Low Weights",4,920765
150,4,"Random Half High, then Half Low Weights",5,922985
150,4,"Random Half High, then Half Low Weights",6,976540
150,4,"Random Half High, then Half Low Weights",7,933263
150,4,"Random Half High, then Half Low Weights",8,930785
150,4,"Random Half High, then Half Low Weights",9,977572
150,4,Increasingly Sorted Large Span Random Weights,0,158461935
150,4,Increasingly Sorted Large Span Random Weights,1,160239942
150,4,Increasingly Sorted Large Span Random Weights,2,144419660
150,4,Increasingly Sorted Large Span Random Weights,3,140806675
150,4,Increasingly Sorted Large Span Random Weights,4,158797276
150,4,Increasingly Sorted Large Span Random Weights,5,139088761
150,4,Increasingly Sorted Large Span Random Weights,6,128322728
150,4,Increasingly Sorted Large Span Random Weights,7,154703606
150,4,Increasingly Sorted Large Span Random Weights,8,139629776
150,4,Increasingly Sorted Large Span Random Weights,9,150291682
150,4,Decreasingly Sorted Large Span Random Weights,0,125664153
150,4,Decreasingly Sorted Large Span Random Weights,1,126738392
150,4,Decreasingly Sorted Large Span Random Weights,2,118414567
150,4,Decreasingly Sorted Large Span Random Weights,3,111839070
150,4,Decreasingly Sorted Large Span Random Weights,4,129115689
150,4,Decreasingly Sorted Large Span Random Weights,5,110800467
150,4,Decreasingly Sorted Large Span Random Weights,6,99716825
150,4,Decreasingly Sorted Large Span Random Weights,7,122576229
150,4,Decreasingly Sorted Large Span Random Weights,8,110861847
150,4,Decreasingly Sorted Large Span Random Weights,9,120256805
