n,m,Generator,Seed,0
150,3,Small Span Large Weights,5,38417646
150,3,Small Span Large Weights,6,38438613
150,3,Small Span Large Weights,7,38426678
150,3,Small Span Large Weights,8,38427431
150,3,Small Span Large Weights,9,38440861
150,3,Large Span Large Weights,0,1698345741
150,3,Large Span Large Weights,1,1748100461
150,3,Large Span Large Weights,2,1809029510
150,3,Large Span Large Weights,3,1664505533
150,3,Large Span Large Weights,4,1731654260
150,3,Large Span Large Weights,5,1788336008
150,3,Large Span Large Weights,6,1664173754
150,3,Large Span Large Weights,7,1839509556
150,3,Large Span Large Weights,8,1798906848
150,3,Large Span Large Weights,9,1892927211
150,3,"Random Half Low, then Half High Weights",0,2654448
150,3,"Random Half Low, then Half High Weights",1,2656628
150,3,"Random Half Low, then Half High Weights",2,2668431
150,3,"Random Half Low, then Half High Weights",3,2654635
150,3,"Random Half Low, then Half High Weights",4,2681201
150,3,"Random Half Low, then Half High Weights",5,2649036
150,3,"Random Half Low, then Half High Weights",6,2679360
150,3,"Random Half Low, then Half High Weights",7,2669915
150,3,"Random Half Low, then Half High Weights",8,2658458
150,3,"Random Half Low, then Half High Weights",9,2684505
150,3,"Random Half High, then Half Low Weights",0,1050575
150,3,"Random Half High, then Half Low Weights",1,1052949
150,3,"Random Half High, then Half Low Weights",2,1075970
150,3,"Random Half High, then Half Low Weights",3,1043782
150,3,"Random Half High, then Half Low Weights",4,1052937
150,3,"Random Half High, then Half Low Weights",5,1045203
150,3,"Random Half High, then Half Low Weights",6,1065645
150,3,"Random Half High, then Half Low Weights",7,1054550
150,3,"Random Half High, then Half Low Weights",8,1055130
150,3,"Random Half High, then Half Low Weights",9,1068336
150,3,Increasingly Sorted Large Span Random Weights,0,264584420
150,3,Increasingly Sorted Large Span Random Weights,1,265739674
150,3,Increasingly Sorted Large Span Random Weights,2,239073353
150,3,Increasingly Sorted Large Span Random Weights,3,238248144
150,3,Increasingly Sorted Large Span Random Weights,4,261672490
150,3,Increasingly Sorted Large Span Random Weights,5,231580096
150,3,Increasingly Sorted Large Span Random Weights,6,223929068
150,3,Increasingly Sorted Large Span Random Weights,7,255872276
150,3,Increasingly Sorted Large Span Random Weights,8,236251323
150,3,Increasingly Sorted Large Span Random Weights,9,253162031
150,3,Decreasingly Sorted Large Span Random Weights,0,141886299
150,3,Decreasingly Sorted Large Span Random Weights,1,142931433
150,3,Decreasingly Sorted Large Span Random Weights,2,130087825
150,3,Decreasingly Sorted Large Span Random Weights,3,123194878
150,3,Decreasingly Sorted Large Span Random Weights,4,144608858
150,3,Decreasingly Sorted Large Span Random Weights,5,122163683
150,3,Decreasingly Sorted Large Span Random Weights,6,107079749
150,3,Decreasingly Sorted Large Span Random Weights,7,137878571
150,3,Decreasingly Sorted Large Span Random Weights,8,121389830
150,3,Decreasingly Sorted Large Span Random Weights,9,132637304
150,4,+1 Increasing Weights,0,275413
150,4,+1 Increasing Weights,1,275413
150,4,+1 Increasing Weights,2,275413
150,4,+1 Increasing Weights,3,275413
150,4,+1 Increasing Weights,4,275413
150,4,+1 Increasing Weights,5,275413
150,4,+1 Increasing Weights,6,275413
150,4,+1 Increasing Weights,7,275413
150,4,+1 Increasing Weights,8,275413
150,4,+1 Increasing Weights,9,275413
150,4,-1 Decreasing Weights,0,144856
150,4,-1 Decreasing Weights,1,144856
150,4,-1 Decreasing Weights,2,144856
150,4,-1 Decreasing Weights,3,144856
150,4,-1 Decreasing Weights,4,144856
150,4,-1 Decreasing Weights,5,144856
150,4,-1 Decreasing Weights,6,144856
150,4,-1 Decreasing Weights,7,144856
150,4,-1 Decreasing Weights,8,144856
150,4,-1 Decreasing Weights,9,144856
150,4,Small Random Weights,0,127330
150,4,Small Random Weights,1,130636
150,4,Small Random Weights,2,147567
150,4,Small Random Weights,3,122853
150,4,Small Random Weights,4,131019
150,4,Small Random Weights,5,123428
150,4,Small Random Weights,6,140456
150,4,Small Random Weights,7,131165
150,4,Small Random Weights,8,131837
150,4,Small Random Weights,9,141529
150,4,Small Span Large Weights,0,29008490
150,4,Small Span Large Weights,1,29012647
150,4,Small Span Large Weights,2,29028609
150,4,Small Span Large Weights,3,29004548
150,4,Small Span Large Weights,4,29012439
150,4,Small Span Large Weights,5,29005616
150,4,Small Span Large Weights,6,29021353
150,4,Small Span Large Weights,7,29013241
150,4,Small Span Large Weights,8,29013180
150,4,Small Span Large Weights,9,29022836
150,4,Large Span Large Weights,0,1278624230
150,4,Large Span Large Weights,1,1316252404
150,4,Large Span Large Weights,2,1358342133
150,4,Large Span Large Weights,3,1259667783
150,4,Large Span Large Weights,4,1304236013
150,4,Large Span Large Weights,5,1339835294
150,4,Large Span Large Weights,6,1248143739
150,4,Large Span Large Weights,7,1379802384
150,4,Large Span Large Weights,8,1358531087
150,4,Large Span Large Weights,9,1427018261
150,4,"Random Half Low, then Half High Weights",0,1991278
150,4,"Random Half Low, then Half High Weights",1,2007028
150,4,"Random Half Low, then Half High Weights",2,2023637
150,4,"Random Half Low, then Half High Weights",3,1994856
150,4,"Random Half Low, then Half High Weights",4,2002212
150,4,"Random Half Low, then Half High Weights",5,2001556
150,4,"Random Half Low, then Half High Weights",6,2008881
150,4,"Random Half Low, then Half High Weights",7,2004430
150,4,"Random Half Low, then Half High Weights",8,2009676
150,4,"Random Half Low, then Half High Weights",9,2013479
150,4,"Random Half High, then Half Low Weights",0,796046
150,4,"Random Half High, then Half Low Weights",1,799725
150,4,"Random Half High, then Half Low Weights",2,816384
150,4,"Random Half High, then Half Low Weights",3,791693
150,4,"Random Half High, then Half Low Weights",4,798918
150,4,"Random Half High, then Half Low Weights",5,792708
150,4,"Random Half High, then Half Low Weights",6,808483
150,4,"Random Half High, then Half Low Weights",7,800048
150,4,"Random Half High, then Half Low Weights",8,800485
150,4,"Random Half High, then Half Low Weights",9,809994
150,4,Increasingly Sorted Large Span Random Weights,0,197888009
150,4,Increasingly Sorted Large Span Random Weights,1,198643433
150,4,Increasingly Sorted Large Span Random Weights,2,178557796
150,4,Increasingly Sorted Large Span Random Weights,3,177508185
150,4,Increasingly Sorted Large Span Random Weights,4,195589512
150,4,Increasingly Sorted Large Span Random Weights,5,172782716
150,4,Increasingly Sorted Large Span Random Weights,6,166868311
150,4,Increasingly Sorted Large Span Random Weights,7,191493383
150,4,Increasingly Sorted Large Span Random Weights,8,176234792
150,4,Increasingly Sorted Large Span Random Weights,9,189172496
150,4,Decreasingly Sorted Large Span Random Weights,0,107442412
150,4,Decreasingly Sorted Large Span Random Weights,1,108234744
150,4,Decreasingly Sorted Large Span Random Weights,2,98498923
150,4,Decreasingly Sorted Large Span Random Weights,3,93313379
150,4,Decreasingly Sorted Large Span Random Weights,4,109481369
150,4,Decreasingly Sorted Large Span Random Weights,5,92515486
150,4,Decreasingly Sorted Large Span Random Weights,6,81150945
150,4,Decreasingly Sorted Large Span Random Weights,7,104406449
150,4,Decreasingly Sorted Large Span Random Weights,8,91951248
150,4,Decreasingly Sorted Large Span Random Weights,9,100455636
