n,m,Generator,Seed,0
150,3,Small Span Large Weights,5,38428670
150,3,Small Span Large Weights,6,38447984
150,3,Small Span Large Weights,7,38438346
150,3,Small Span Large Weights,8,38439041
150,3,Small Span Large Weights,9,38451508
150,3,Large Span Large Weights,0,1832798443
150,3,Large Span Large Weights,1,1881708920
150,3,Large Span Large Weights,2,1943744098
150,3,Large Span Large Weights,3,1821896830
150,3,Large Span Large Weights,4,1861640949
150,3,Large Span Large Weights,5,1913808392
150,3,Large Span Large Weights,6,1793538630
150,3,Large Span Large Weights,7,1969530743
150,3,Large Span Large Weights,8,1939052251
150,3,Large Span Large Weights,9,2021005995
150,3,"Random Half Low, then Half High Weights",0,2747417
150,3,"Random Half Low, then Half High Weights",1,2749425
150,3,"Random Half Low, then Half High Weights",2,2769198
150,3,"Random Half Low, then Half High Weights",3,2741733
150,3,"Random Half Low, then Half High Weights",4,2750614
150,3,"Random Half Low, then Half High Weights",5,2743856
150,3,"Random Half Low, then Half High Weights",6,2762182
150,3,"Random Half Low, then Half High Weights",7,2750461
150,3,"Random Half Low, then Half High Weights",8,2751771
150,3,"Random Half Low, then Half High Weights",9,2766857
150,3,"Random Half High, then Half Low Weights",0,1060323
150,3,"Random Half High, then Half Low Weights",1,1066587
150,3,"Random Half High, then Half Low Weights",2,1085653
150,3,"Random Half High, then Half Low Weights",3,1055371
150,3,"Random Half High, then Half Low Weights",4,1063091
150,3,"Random Half High, then Half Low Weights",5,1056495
150,3,"Random Half High, then Half Low Weights",6,1075715
150,3,"Random Half High, then Half Low Weights",7,1066125
150,3,"Random Half High, then Half Low Weights",8,1066864
150,3,"Random Half High, then Half Low Weights",9,1079496
150,3,Increasingly Sorted Large Span Random Weights,0,271264395
150,3,Increasingly Sorted Large Span Random Weights,1,272589180
150,3,Increasingly Sorted Large Span Random Weights,2,245131670
150,3,Increasingly Sorted Large Span Random Weights,3,244749773
150,3,Increasingly Sorted Large Span Random Weights,4,267902194
150,3,Increasingly Sorted Large Span Random Weights,5,237870817
150,3,Increasingly Sorted Large Span Random Weights,6,230721454
150,3,Increasingly Sorted Large Span Random Weights,7,262988467
150,3,Increasingly Sorted Large Span Random Weights,8,242839114
150,3,Increasingly Sorted Large Span Random Weights,9,259911277
150,3,Decreasingly Sorted Large Span Random Weights,0,141886299
150,3,Decreasingly Sorted Large Span Random Weights,1,142931449
150,3,Decreasingly Sorted Large Span Random Weights,2,130087825
