n,m,Generator,Seed,0
150,3,Small Span Large Weights,5,38387819
150,3,Small Span Large Weights,6,38413352
150,3,Small Span Large Weights,7,38404907
150,3,Small Span Large Weights,8,38403679
150,3,Small Span Large Weights,9,38412219
150,3,Large Span Large Weights,0,1477718852
150,3,Large Span Large Weights,1,1493598884
150,3,Large Span Large Weights,2,1561989831
150,3,Large Span Large Weights,3,1377257113
150,3,Large Span Large Weights,4,1496864590
150,3,Large Span Large Weights,5,1529076558
150,3,Large Span Large Weights,6,1396338494
150,3,Large Span Large Weights,7,1569529230
150,3,Large Span Large Weights,8,1540500441
150,3,Large Span Large Weights,9,1613730260
150,3,"Random Half Low, then Half High Weights",0,1485142
150,3,"Random Half Low, then Half High Weights",1,1492316
150,3,"Random Half Low, then Half High Weights",2,1513924
150,3,"Random Half Low, then Half High Weights",3,1494219
150,3,"Random Half Low, then Half High Weights",4,1519760
150,3,"Random Half Low, then Half High Weights",5,1478009
150,3,"Random Half Low, then Half High Weights",6,1505018
150,3,"Random Half Low, then Half High Weights",7,1504615
150,3,"Random Half Low, then Half High Weights",8,1511943
150,3,"Random Half Low, then Half High Weights",9,1502091
150,3,"Random Half High, then Half Low Weights",0,1044468
150,3,"Random Half High, then Half Low Weights",1,1044224
150,3,"Random Half High, then Half Low Weights",2,1069643
150,3,"Random Half High, then Half Low Weights",3,1035864
150,3,"Random Half High, then Half Low Weights",4,1043365
150,3,"Random Half High, then Half Low Weights",5,1038031
150,3,"Random Half High, then Half Low Weights",6,1057301
150,3,"Random Half High, then Half Low Weights",7,1046189
150,3,"Random Half High, then Half Low Weights",8,1047050
150,3,"Random Half High, then Half Low Weights",9,1061585
150,3,Increasingly Sorted Large Span Random Weights,0,219115703
150,3,Increasingly Sorted Large Span Random Weights,1,221216050
150,3,Increasingly Sorted Large Span Random Weights,2,197235977
150,3,Increasingly Sorted Large Span Random Weights,3,193471766
150,3,Increasingly Sorted Large Span Random Weights,4,216985140
150,3,Increasingly Sorted Large Span Random Weights,5,190576013
150,3,Increasingly Sorted Large Span Random Weights,6,175362291
150,3,Increasingly Sorted Large Span Random Weights,7,213387629
150,3,Increasingly Sorted Large Span Random Weights,8,191253421
150,3,Increasingly Sorted Large Span Random Weights,9,205970301
150,3,Decreasingly Sorted Large Span Random Weights,0,141886299
150,3,Decreasingly Sorted Large Span Random Weights,1,142931433
150,3,Decreasingly Sorted Large Span Random Weights,2,130087825
150,3,Decreasingly Sorted Large Span Random Weights,3,123194878
150,3,Decreasingly Sorted Large Span Random Weights,4,144608858
150,3,Decreasingly Sorted Large Span Random Weights,5,122163683
150,3,Decreasingly Sorted Large Span Random Weights,6,107079749
150,3,Decreasingly Sorted Large Span Random Weights,7,137878571
150,3,Decreasingly Sorted Large Span Random Weights,8,121389830
150,3,Decreasingly Sorted Large Span Random Weights,9,132637304
150,4,+1 Increasing Weights,0,218928
150,4,+1 Increasing Weights,1,218928
150,4,+1 Increasing Weights,2,218928
150,4,+1 Increasing Weights,3,218928
150,4,+1 Increasing Weights,4,218928
150,4,+1 Increasing Weights,5,218928
150,4,+1 Increasing Weights,6,218928
150,4,+1 Increasing Weights,7,218928
150,4,+1 Increasing Weights,8,218928
150,4,+1 Increasing Weights,9,218928
150,4,-1 Decreasing Weights,0,144856
150,4,-1 Decreasing Weights,1,144856
150,4,-1 Decreasing Weights,2,144856
150,4,-1 Decreasing Weights,3,144856
150,4,-1 Decreasing Weights,4,144856
150,4,-1 Decreasing Weights,5,144856
150,4,-1 Decreasing Weights,6,144856
150,4,-1 Decreasing Weights,7,144856
150,4,-1 Decreasing Weights,8,144856
150,4,-1 Decreasing Weights,9,144856
150,4,Small Random Weights,0,103792
150,4,Small Random Weights,1,102849
